Site,Tickets,Orders,TripCost,Zone,Total_Robots
S-Market Vakka-Suomenkatu,0,717,210,W3,8
S-Market Paimio,0,711,146,W2,7
S-market Lieto,0,678,159,W2,7
S-Market Puijonlaakso,0,622,461,NE2,5
S-Market Kaarina,0,596,159,W2,5
S-Market Parainen,0,592,170,W2,6
S-Market Toijala,0,585,146,NW1,7
S-Market Raisiontori,0,573,164,W2,5
S-Market Maljalahti,0,569,462,NE2,6
S-Market Sammonlahti,0,529,202,E2,5
S-Market Petonen,0,492,453,NE2,5
S-Market Keilankanta,0,475,458,NE2,4
S-Market Auranlaakso,0,407,158,W2,5
S-Market Superi,0,405,151,NW1,6
S-Market Kaukajärvi,0,401,170,NW1,5
S-Market Pallo,0,400,206,E2,4
Sale Kompassi,0,397,165,W2,4
S-Market Joutseno,0,393,215,E2,5
S-Market Halinen,0,392,160,W2,5
S-Market Herttoniemi,0,382,48,CAP,5
S-Market Kangasala,0,356,164,NW1,5
Alepa Matinkylä,0,355,47,CAP,4
S-Market Myllyhaka Nokia,0,347,177,NW1,6
S-market Itälahdenkatu,0,334,48,CAP,6
S-market Savela,0,315,235,N2,6
S-Market Kevätkumpu,0,310,74,E1,5
Sale Vuores,0,304,164,NW1,5
S-Market Piikkiö,0,277,152,W2,4
S-Market Tesoma,0,263,177,NW1,6
Sale Laitila,0,254,196,W3,4
S-Market Moisio,0,253,162,W2,5
Sale Runosmäki,0,235,161,W2,3
S-market Tourula,0,235,231,N2,5
Sale Hämeenkatu,0,221,161,W2,3
S-Market Vuorela,0,221,463,NE2,3
Alepa Länsimäki,0,216,49,CAP,3
S-Market Rusko,0,214,165,W2,5
Alepa Kaleva,0,210,59,CAP,4
Alepa Westend,0,193,46,CAP,4
Alepa Teerisuontie,0,187,46,CAP,3
Sale Etappi,0,184,169,W2,3
Alepa Kivistön Asema,0,178,47,CAP,3
Alepa Kauklahti,0,175,52,CAP,4
Sale Suuppa,0,174,171,NW1,4
Sale Leinola,0,167,172,NW1,4
S-Market Rantakylä,0,163,203,NE1,4
S-Market Vuoksenniska,0,162,229,E2,4
Alepa Pähkinärinne,0,162,42,CAP,3
Alepa Etelä-Haaga,0,159,40,CAP,3
Alepa Ymmersta,0,157,47,CAP,3
Sale Nummela,0,156,62,W1,5
S-market Torpparinmäki,0,156,43,CAP,3
Sale Lauste,0,155,157,W2,3
S-Market Naantali,0,151,172,W2,5
Sale Martti,0,147,161,W2,2
Sale Härmälänranta,0,143,167,NW1,3
S-Market Peitsari,0,142,208,NE1,4
Alepa Kivenlahti,0,140,51,CAP,3
Sale Hervanta,0,137,166,NW1,3
Alepa Puistola,0,136,50,CAP,3
Sale Petrelius,0,129,160,W2,3
Alepa Mankkaa,0,129,46,CAP,4
Alepa Verkkosaari,0,128,47,CAP,3
S-Market Lukkarinsanta,0,126,219,W3,5
Sokos Herkku Oulu,0,124,600,NN1,5
Sale Kantvik,0,118,62,CAP,3
Alepa Päiväkumpu,0,114,54,CAP,3
Sale Jyrkkälä,0,112,165,W2,3
S-Market Koria,0,112,119,E1,5
S-Market Karhula,0,111,117,E1,5
S-Market Laitaatsilta,0,110,270,NE1,5
Alepa Viikki,0,110,49,CAP,3
Sale Eskolanmäki,0,107,125,E1,3
Sale Huhtinen,0,105,72,E1,3
S-Market Karkkila,0,103,78,W1,4
Alepa Laajalahti,0,103,42,CAP,3
Sale Kontiopuisto,0,102,253,NE2,3
Alepa Pasilanraitio,0,102,43,CAP,3
Alepa Mikkola,0,99,54,CAP,2
Sale Kalliokatu Rauma,0,95,217,W3,4
Alepa Maunula,0,95,43,CAP,2
Sale Hiidensalmi,0,93,73,W1,3
Sale Nuijamies,0,91,205,NE1,3
Sale Janka Tampere,0,91,170,NW1,4
Sale Lahdenkatu,0,84,221,W3,3
Sale Grani,0,84,46,CAP,3
S-Market Somero,0,82,103,W1,3
Alepa Jupperi,0,81,45,CAP,3
S-Market Tynninharju,0,77,74,W1,4
Sale Käsityöläiskatu,0,71,161,W2,2
Alepa Pajamäki,0,71,38,CAP,2
Sale Syväraumankatu,0,70,218,W3,3
Sale Amuri,0,70,170,NW1,3
S-market Noormarkku,0,69,227,W3,5
Sale Hirssaari,0,67,121,E1,3
Sale Osmonmäki,0,64,169,NW1,3
Sale Monnankatu Rauma,0,64,217,W3,3
S-market Ritaharju,0,64,604,NN1,4
Sale Kauttua,0,57,197,W3,3
Sale Hatanpää,0,56,166,NW1,2
Alepa Viikinmäki,0,46,46,CAP,2
Sale Hermanni,0,45,106,W1,3
S-Market Kortela,0,45,216,W3,4
Sale Paratiisinmäki,0,44,220,W3,4
Alepa Lehtisaari,0,41,45,CAP,2
Sale Tori,0,39,219,W3,3
Sale Lappi,0,33,208,W3,3
S-Market Tupuri,0,30,105,W1,3
Sale Savisilta,0,29,209,NE1,3
Sale Perttilä,0,28,68,W1,3
Sale Linnakangas,0,26,593,NN1,4
